부착대관리번호,신호등종류,X좌표,Y좌표
03-0000022162,2.0,200210.63928,554774.48794
03-0000059612,2.0,207976.09112,540458.75328
03-0000061537,2.0,197607.0761,551122.82541
03-0000009554,2.0,213841.02613,543667.1013
03-0000009573,2.0,206198.63576,553893.36201
03-0000009583,2.0,187652.6714,551360.68261
03-0000009591,2.0,202567.90943,557767.21547
03-0000009594,2.0,192081.2133,557227.66668
03-0000009603,2.0,193936.01746,558098.44328
03-0000009612,2.0,194219.39687,549756.95926
03-0000009639,2.0,201577.09496,543931.8657
03-0000009657,2.0,193911.71573,549744.57009
03-0000009667,2.0,200683.60724,545610.32116
03-0000009676,2.0,195110.73115,541184.41215
03-0000009695,2.0,196290.46395,552745.28596
03-0000009714,2.0,200288.31249,545421.45478
03-0000009723,2.0,194610.69369,542698.28738
03-0000016357,2.0,200994.18862,549089.4979
03-0000050340,2.0,205906.11856,555944.98856
03-0000050343,2.0,205926.14982,555936.04589
03-0000050346,2.0,204070.10887,556195.67166
03-0000020138,2.0,188674.24759,550160.89681
03-0000067958,2.0,192578.54288,552050.59519
03-0000067954,2.0,189727.94402,552942.59482
03-0000067925,2.0,193268.81785,551166.02865
03-0000063724,2.0,191800.50615,552895.3374
03-0000066151,2.0,199971.33143,556577.57415
03-0000066153,2.0,199979.2853,556552.75134
03-0000066167,2.0,201539.03745,555914.69618
03-0000066198,2.0,211781.36977,543054.63318
03-0000064931,2.0,194604.70313,551188.71875
03-0000058950,2.0,194605.92401,551185.92273
03-0000064928,2.0,194499.32813,551183.4375
03-0000055658,2.0,194502.05821,551188.7901
03-0000065625,2.0,186449.57325,544707.15269
03-0000065703,2.0,194631.0,542659.5625
03-0000065708,2.0,196068.0938,542305.9063
03-0000065714,2.0,196457.29918,542107.22746
03-0000065728,2.0,192415.60717,542714.10928
03-0000065730,2.0,192421.79736,542585.86741
03-0000065762,2.0,204056.10964,563021.42757
03-0000065765,2.0,193422.97445,543388.89191
03-0000065773,2.0,195502.21875,542573.53125
03-0000006423,2.0,193885.04722,552319.67506
03-0000061577,2.0,198374.48548,550290.71779
03-0000065799,2.0,198349.99648,550293.19999
03-0000063506,2.0,199287.04302,549243.57712
03-0000018764,2.0,197592.30327,548291.7795
03-0000065867,2.0,191909.05872,542704.78756
03-0000065872,2.0,196378.05844,541880.48335
03-0000065929,2.0,206053.03798,559955.20249
03-0000065930,2.0,206335.61149,561874.30068
03-0000065946,2.0,193135.23771,539957.44863
03-0000065962,2.0,194654.0,542978.21875
03-0000066046,2.0,201272.34526,554584.89523
03-0000066063,2.0,206215.42931,556553.42631
03-0000066064,2.0,205131.31114,556705.74167
